Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,MGLU3.SA,MSFT,NVDA,MGLU3.SA,MSFT,NVDA,MGLU3.SA,MSFT,NVDA,MGLU3.SA,MSFT,NVDA,MGLU3.SA,MSFT,NVDA
Date,,,,,,,,,,,,,,,
2021-01-04,235.53067016601562,210.42312622070312,13.080303192138672,239.0823242421629,215.55586669556413,13.617939238930168,232.44634380969762,207.63926098033494,12.92968542148964,236.09146647935705,215.10155494454784,13.07107692026243,2748365.0,37130100.0,560640000.0
2021-01-05,231.41822814941406,210.62606811523438,13.370817184448242,235.34374123526155,211.2253813384584,13.409468788578188,227.49271506356658,208.4995113458299,13.053871557306186,234.59602300484005,210.00743315050906,13.066588954815865,2719049.0,23823000.0,322760000.0
2021-01-06,219.26783752441406,205.1647186279297,12.58256721496582,230.4835961293108,209.26318521914703,13.21147098319304,218.89397839599312,204.8650693375446,12.554139756686697,230.3901275352727,205.08738739985876,13.189027902508414,5538084.0,35930700.0,580424000.0
2021-01-07,216.46389770507812,211.00306701660156,13.310216903686523,222.9129561159642,212.01801901216683,13.343881991632069,214.50114875275517,206.57596892064734,12.853875649532801,220.95020716364124,206.8949399269411,12.934669958082303,4506099.0,27694500.0,461480000.0
2021-01-08,222.81948852539062,212.28868103027344,13.243138313293457,227.11886081864367,213.21664097744642,13.387023047604911,215.15539937081942,209.7851434714521,13.008982809713672,216.74430445647002,211.38005757663532,13.328671807745605,4702983.0,22956200.0,292528000.0
2021-01-11,219.54824829101562,210.2297821044922,13.587018013000488,222.91296527546305,211.60237807720935,13.925659015477953,218.0528117433804,209.49514288710685,13.328673830845181,219.64170163944397,211.1770637407067,13.384781056873084,2849078.0,23031300.0,518344000.0
2021-01-12,226.18421936035156,207.75523376464844,13.450611114501953,227.3057967237169,209.85280814846865,13.719678795246839,217.30508429337337,206.19899268862474,13.311215384545882,220.57634779125613,209.27283135349361,13.717683051880288,3746308.0,23249300.0,291476000.0
2021-01-13,224.50184631347656,209.11813354492188,13.497493743896484,226.1842199870516,209.5241113329817,13.590507953024117,220.10902068778825,206.78858063659325,13.351115747658586,226.1842199870516,206.87558746572185,13.455849480783481,2738111.0,20087100.0,210028000.0
2021-01-14,221.7913818359375,205.9089813232422,13.16683292388916,225.81036363652905,210.20076782895143,13.565321473534354,219.64169566907822,205.6383294489561,13.147133279160743,225.71689504290958,208.70250690024,13.540634372274425,2731504.0,29480800.0,283120000.0
2021-01-15,223.94107055664062,205.5513458251953,12.826947212219238,225.34303848599515,207.34925619278064,13.291517947371311,218.23973024453713,204.95204728580774,12.815975377397475,221.79138436526614,206.39231365400664,13.19451414261021,3502649.0,31746500.0,277780000.0
2021-01-18,228.5208282470703,,,230.39012385935,,,223.47373771778075,,,224.78225227024217,,,2593456.0,,
2021-01-19,225.06265258789062,209.21481323242188,12.99227523803711,233.19406979527008,209.73678049000227,13.060850617285398,222.63257581011112,205.53200081953176,12.8114835263608,229.36202505924354,206.61460831639243,12.983297246535697,2247949.0,30480900.0,226188000.0
2021-01-20,237.58688354492188,216.8511199951172,13.331912994384766,238.61500755995243,218.25271341291432,13.39649878887815,225.4365002733236,210.03645884374558,13.023695257087448,225.99728132903923,210.4327758392964,13.078555369823702,5141462.0,37777300.0,258572000.0
2021-01-21,238.24114990234375,217.4600830078125,13.832393646240234,239.73657114267337,218.74568689727488,13.963810217377501,232.25941919783148,214.9952038137131,13.219449255271742,237.39996306587668,217.199091981528,13.384529967096498,3532350.0,30709400.0,337780000.0
2021-01-22,242.91436767578125,218.40736389160156,13.67778491973877,245.81177207878736,222.38984062351855,13.806708234264098,234.59602883900249,218.26237707162616,13.592750838407587,234.87641937045086,219.499647100157,13.705215452670116,4597789.0,30172700.0,246820000.0
2021-01-25,,221.86785888671875,13.618683815002441,,222.10951341996787,13.793490187934895,,216.7351189604152,13.202988946431265,,221.4715419123289,13.746858476396001,,33152100.0,251112000.0
